Date,Price,Open,High,Low,Vol.,Change%
2019-01-31,6968.85,6941.63,6994.88,6941.09,893090000,0.39
2019-01-30,6941.63,6833.93,6967.70,6833.93,771900000,1.58
2019-01-29,6833.93,6747.10,6860.34,6747.10,718590000,1.29
2019-01-28,6747.10,6809.22,6812.53,6734.00,668240000,-0.91
2019-01-25,6809.22,6818.95,6858.19,6806.77,749990000,-0.14
2019-01-24,6818.95,6842.88,6854.59,6802.03,618510000,-0.35
2019-01-23,6842.88,6901.39,6901.63,6834.30,666010000,-0.85
2019-01-22,6901.39,6970.59,6970.59,6880.69,583460000,-0.99
2019-01-21,6970.59,6968.33,6987.93,6954.52,488780000,0.03
2019-01-18,6968.33,6834.92,6984.36,6834.92,820330000,1.95
2019-01-17,6834.92,6862.68,6862.68,6799.03,600660000,-0.40
2019-01-16,6862.68,6895.02,6912.44,6848.57,811960000,-0.47
2019-01-15,6895.02,6855.02,6910.45,6849.63,708580000,0.58
2019-01-14,6855.02,6918.18,6918.21,6841.74,704570000,-0.91
2019-01-11,6918.18,6942.87,7001.94,6902.65,701510000,-0.36
2019-01-10,6942.87,6906.63,6948.18,6860.82,630320000,0.52
2019-01-09,6906.63,6861.60,6938.31,6861.60,887290000,0.66
2019-01-08,6861.60,6810.88,6901.48,6804.89,672100000,0.74
2019-01-07,6810.88,6837.42,6874.11,6778.01,759330000,-0.39
2019-01-04,6837.42,6692.66,6850.37,6692.50,658880000,2.16
2019-01-03,6692.66,6734.23,6753.14,6685.09,694920000,-0.62
2019-01-02,6734.23,6728.13,6753.29,6599.48,633240000,0.09
2018-12-31,6728.13,6733.97,6752.54,6718.32,232270000,-0.09
2018-12-28,6733.97,6584.68,6742.48,6584.68,515160000,2.27
2018-12-27,6584.68,6685.99,6728.49,6536.53,608360000,-1.52
2018-12-24,6685.99,6721.17,6721.17,6661.04,198770000,-0.52
2018-12-21,6721.17,6711.93,6733.00,6653.65,1650000000,0.14
2018-12-20,6711.93,6765.94,6765.94,6646.45,929570000,-0.80
2018-12-19,6765.94,6701.59,6785.16,6698.15,777370000,0.96
2018-12-18,6701.59,6773.24,6773.24,6701.59,880780000,-1.06
2018-12-17,6773.24,6845.17,6845.17,6761.38,734720000,-1.05
2018-12-14,6845.17,6877.50,6877.50,6788.65,736010000,-0.47
2018-12-13,6877.50,6880.19,6908.48,6848.98,757820000,-0.04
2018-12-12,6880.19,6806.94,6902.19,6806.94,1100000000,1.08
2018-12-11,6806.94,6721.54,6857.58,6721.54,867260000,1.27
2018-12-10,6721.54,6778.11,6815.84,6719.17,891070000,-0.83
2018-12-07,6778.11,6704.05,6868.27,6704.05,845320000,1.10
2018-12-06,6704.05,6921.84,6921.84,6673.57,1060000000,-3.15
2018-12-05,6921.84,7022.76,7028.65,6921.84,813440000,-1.44
2018-12-04,7022.76,7062.41,7095.01,7002.71,844630000,-0.56
2018-12-03,7062.41,6980.24,7145.49,6980.24,891140000,1.18
2018-11-30,6980.24,7038.95,7042.07,6965.60,1220000000,-0.83
2018-11-29,7038.95,7004.52,7078.37,7004.52,797790000,0.49
2018-11-28,7004.52,7016.85,7057.03,6987.25,825360000,-0.18
2018-11-27,7016.85,7036.00,7043.70,6983.98,855620000,-0.27
2018-11-26,7036.00,6952.86,7050.96,6952.86,826830000,1.20
2018-11-23,6952.86,6960.32,6987.53,6912.30,707660000,-0.11
2018-11-22,6960.32,7050.23,7050.43,6944.95,786800000,-1.28
2018-11-21,7050.23,6947.92,7058.56,6947.92,864500000,1.47
2018-11-20,6947.92,7000.89,7010.10,6904.21,851710000,-0.76
2018-11-19,7000.89,7013.88,7070.46,6997.83,800440000,-0.19
2018-11-16,7013.88,7038.01,7092.44,6968.99,1040000000,-0.34
2018-11-15,7038.01,7033.79,7081.88,6979.57,1290000000,0.06
2018-11-14,7033.79,7053.76,7113.59,6979.68,953790000,-0.28
2018-11-13,7053.76,7053.08,7103.97,7016.64,1080000000,0.01
2018-11-12,7053.08,7105.34,7186.31,7053.08,730620000,-0.74
2018-11-09,7105.34,7140.68,7140.68,7070.80,672890000,-0.49
2018-11-08,7140.68,7117.28,7171.69,7115.01,697800000,0.33
2018-11-07,7117.28,7040.68,7136.75,7040.68,698980000,1.09
2018-11-06,7040.68,7103.84,7117.50,7027.45,666520000,-0.89
2018-11-05,7103.84,7094.12,7140.37,7077.40,570490000,0.14
2018-11-02,7094.12,7114.66,7196.39,7094.12,824950000,-0.29
2018-11-01,7114.66,7128.10,7165.61,7085.74,1060000000,-0.19
2018-10-31,7128.10,7035.85,7161.54,7035.85,923080000,1.31
2018-10-30,7035.85,7026.32,7060.06,6983.68,774720000,0.14
2018-10-29,7026.32,6939.56,7085.88,6939.56,804710000,1.25
2018-10-26,6939.56,7004.10,7004.16,6851.59,803060000,-0.92
2018-10-25,7004.10,6962.98,7004.10,6885.99,853930000,0.59
2018-10-24,6962.98,6955.21,7049.83,6955.21,797990000,0.11
2018-10-23,6955.21,7042.80,7042.80,6928.65,1010000000,-1.24
2018-10-22,7042.80,7049.80,7114.12,7042.05,806700000,-0.10
